Plant,Brand,Type,Cycle,When Bought,Planting Method,Ideal Planting time,Actually Planted,Maturity ,Location,Notes
Anise Hysop,Metchosin Farm,Herb,Perennial,2026,Direct Sow,Early/Late Spring,,,,
Beets - Blend,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,April-July,,,,
Beets - Boro,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,April-July,,,,
Beets - Subeto,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,April-July,,,,
Black Cherry Tomatio,Metchosin Farm,Herb,Annual,2026,Seedlings,February/March,,,,
Borage,Metchosin Farm,Herb,Annual,2026,Direct Sow,Early/Late Spring,,,,
Bush Beans - Mix,Metchosin Farm,Vegetable,Annual,2023,Direct Sow,Late April/Early May,,,,
Bush Beans - Orca,Metchosin Farm,Vegetable,Annual,2023,Direct Sow,Late April/Early May,,,,
Bush Beans - Royal Burgandy,West Coast Seeds,Vegetable,Annual,2024,Direct Sow,Late April/Early May,,,,
Calendula,Metchosin Farm,Herb,Annual,2023,Direct Sow,Early Spring,,,,
Carrot,Metchosin Farm,Vegetable,Annual,2023,Direct Sow,Early Spring,,,,
Carrot - Cosmic Purple,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Early Spring,,,,
Carrot - Deep Purple,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Early Spring,,,,
Carrot - Purple Haze,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Early Spring,,,,
Catnip,Metchosin Farm,Herb,Perennial,2023,Direct Sow,Early Spring,,,,
Chamomile,Metchosin Farm,Herb,Annual,2023,Direct Sow,Early Spring,,,,
Cilantro,Metchosin Farm,Herb,Annual,2023,Direct Sow,Early Spring,,,,
Clary Sage,Metchosin Farm,Herb,Perennial,2026,Direct Sow,Early Spring/Autumn,,,,
Echinacea,Metchosin Farm,Herb,Perennial,2023,Direct Sow,Early Spring,,,,
Eggplant Blend,West Coast Seeds,Vegetable,Annual,2024,Seedlings,Early Spring,,,,
Feverfew,Metchosin Farm,Herb,Perennial,2023,Direct Sow,Autumn,,,,
French Marigold  Bush Mix,Metchosin Farm,Flower,Annual,2023,Direct Sow,Spring,,,,
Globe Artichoke,Metchosin Farm,Vegetable,Perennial,2023,Direct Sow,Early Spring,,,,
Goji - Shanghai Express,West Coast Seeds,Berry,Perennial,2024,Seedlings,Early Spring,,,,
Golden Berry,Metchosin Farm,Berry,Annual,2023,Direct Sow,Late April/Early May,,,,
Goldenrod,Metchosin Farm,Herb,Perennial,2026,Direct Sow,Late Autumn,,,,
Holy Basil,Metchosin Farm,Herb,Annual,2026,Seedlings,Late April/Early May,,,,
Howden Pumpkin,Metchosin Farm,Vegetable,Annual,2023,Direct Sow,Late April/Early May,,,,
Kohlrabi - Kolibri (coated),West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Spring/Mid-Summer,,,,
Kohlrabi - Purple Vienna,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Spring/Mid-Summer,,,,
Lavender,Metchosin Farm,Herb,Perennial,2026,Seedlings,Spring,,,,
Magenta Spreen,Metchosin Farm,Vegetable,Biennial,2023,Direct Sow,Early Spring,,,,
Marketmore Cucumber,Metchosin Farm,Vegetable,Annual,2023,Direct Sow,Late April/Early May,,,,
Marshmallow,Metchosin Farm,Herb,Perennial,2026,Direct Sow,Spring,,,,
Mullein,Metchosin Farm,Herb,Biennial,2023,Direct Sow,Early Spring,,,,
Peppers - California Wonder,West Coast Seeds,Vegetable,Annual,2025,Seedlings,March,,,,
Peppers - Chocolate Beauty,West Coast Seeds,Vegetable,Annual,2024,Seedlings,Early Spring,,,,
Piment d'Espelette,Metchosin Farm,Vegetable,Annual,2023,Seedlings,Early Spring,,,,
Pole Beans - Mix,Metchosin Farm,Vegetable,Annual,2023,Direct Sow,Late April/Early May,,,,
Pole Beans - Purple Peacock,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Late April/Early May,,,,
Pole Beans - Scarlet Runner,Metchosin Farm,Vegetable,Annual,2023,Direct Sow,Late April/Early May,,,,
Purple Sprouting Broccoli,Metchosin Farm,Vegetable,Biennial,2023,Direct Sow,Mid-Summer,,,,
Purple Sprouting Broccoli,Metchosin Farm,Vegetable,Biennial,2026,Direct Sow,Mid-Summer,,,,
Radish - Black Spanish Round,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Early Spring,,,,
Radish - Easter Egg Blend,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Early Spring,,,,
Radish - Purpura,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Early Spring,,,,
Radish - Rido Red,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Early Spring,,,,
Shelling Pea,Metchosin Farm,Vegetable,Annual,2023,Direct Sow,Early Spring,,,,
Snow Peas - Purple Mist,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Early Spring,,,,
Spinach,Metchosin Farm,Vegetable,Annual,2026,Direct Sow,Early Spring/Late Summer,2026-03-27,50 days,New garden near Raspberries,
Sunberry,Metchosin Farm,Berry,Annual,2023,Direct Sow,Late April/Early May,,,,
Swiss Chard Bright Lights,West Coast Seeds,Vegetable,Biennial,2025,Direct Sow,August,,,,
Swiss Chard Mix,Metchosin Farm,Vegetable,Biennial,2026,Direct Sow,Early Spring,2026-03-27,60 days,New garden near Raspberries,
Tadorna Leek,Metchosin Farm,Vegetable,Biennial,2026,Direct Sow,Late April/Early May,,,,
Thai Basil,Metchosin Farm,Herb,Annual,2026,Seedlings,Late April/Early May,,,,
Tomatilllo,West Coast Seeds,Vegetable,Annual,2025,Seedlings,Early Spring,,,,
Valerian,Metchosin Farm,Herb,Perennial,2026,Direct Sow,Spring,,,,
Vampire Carrot,Metchosin Farm,Vegetable,Biennial,2026,Direct Sow,Mid Summer,,,,
Zucchini - Desert,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Late April/Early May,,,,
Zucchini - Jackpot,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Late April/Early May,,,,
Zucchini - Noche,West Coast Seeds,Vegetable,Annual,2025,Direct Sow,Late April/Early May,,,,
